Full,Stem,Index,Min,Max,Total,Keep,Root_Index
staying,stai,812,0,11,149,0,
admiral,admir,813,0,10,239,1,
way,wai,814,0,9,193,1,
while,while,815,0,13,353,0,
soak,soak,816,0,9,235,1,
many,mani,817,0,29,776,0,
thumb,thumb,818,0,2,25,1,
rose,rose,819,0,4,47,1,
bushes,bush,820,0,3,27,1,
partial,partial,821,0,18,475,0,
expansive,expans,824,0,32,734,1,
tranquil,tranquil,825,0,13,232,1,
sanctuary,sanctuari,826,0,9,103,1,
host,host,829,0,8,97,1,
party,parti,830,0,13,224,1,
between,between,831,0,9,172,0,
stores,store,832,0,8,147,1,
downstairs,downstair,833,0,25,716,0,
options,option,834,0,12,177,0,
dual,dual,835,0,8,186,0,
controls,control,837,0,5,53,0,
smart,smart,839,0,5,107,1,
ultra,ultra,840,0,3,29,0,
entrance,entranc,841,0,22,426,0,
expands,expand,842,0,9,209,0,
sought,sought,843,0,19,360,0,
touches,touch,844,0,13,384,0,
wiring,wire,845,0,20,482,1,
insulation,insul,846,0,13,273,1,
hydronic,hydron,847,0,2,31,1,
boiler,boiler,848,0,3,30,1,
rv,rv,849,0,8,230,1,
dead,dead,850,0,11,284,0,
combination,combin,853,0,10,219,0,
those,those,854,0,6,118,0,
who,who,855,0,3,71,0,
coupled,coupl,856,0,4,68,0,
sensibilities,sensibl,857,0,3,34,0,
arched,arch,858,0,9,198,1,
doorways,doorwai,859,0,5,100,1,188
high,high,860,0,60,1818,0,
elegantly,elegantli,861,0,3,41,1,
cherry,cherri,862,0,13,394,1,
almost,almost,864,0,5,121,0,
everywhere,everywher,865,0,6,64,0,
wireless,wireless,867,0,3,27,1,
architecturally,architectur,868,0,14,308,1,
stunning,stun,870,0,31,814,0,
cool,cool,871,0,14,245,1,
enclosed,enclos,872,0,7,139,0,
porch,porch,873,0,38,1020,1,
rare,rare,874,0,26,596,1,
en,en,875,0,12,184,0,
custom,custom,876,0,44,1404,1,
find,find,877,0,26,588,0,
another,anoth,878,0,9,235,0,
nursery,nurseri,879,0,8,86,1,
dressing,dress,880,0,3,52,0,
multiple,multipl,881,0,8,128,0,
lvg,lvg,884,0,4,26,1,46
inviting,invit,885,0,18,595,0,
splash,splash,886,0,7,102,0,
throw,throw,887,0,4,64,0,
fab,fab,888,0,5,55,0,
rear,rear,889,0,11,380,0,
appeal,appeal,890,0,9,235,1,
outside,outsid,893,0,14,356,1,
winter,winter,895,0,4,89,1,
chance,chanc,897,0,3,48,0,
delightful,delight,898,0,15,422,0,
reading,read,899,0,4,86,1,
beat,beat,903,0,4,39,0,
either,either,906,0,4,31,0,
deep,deep,908,0,4,108,0,
now,now,910,0,5,143,0,
prepare,prepar,912,0,4,46,0,
meals,meal,914,0,3,42,1,
looking,look,915,0,16,535,0,
found,found,916,0,4,68,0,
footage,footag,917,0,4,63,1,
ample,ampl,918,0,18,487,0,
waiting,wait,922,0,11,307,0,
paved,pave,923,0,5,116,1,
several,sever,926,0,7,90,0,
town,town,927,0,5,92,1,
larger,larger,928,0,4,100,0,
